,id,master_id,year,artists,title,labels,styles,master_url,formats,rym_url,rating_value,rating_count
606,2111061,0,,"[('Glenn Miller And His Orchestra', 'https://api.discogs.com/artists/335671')]",The Complete Glenn Miller 1939 Vol. II,"[('AXM2-5514', 'RCA', 'https://api.discogs.com/labels/895')]",['Swing'],,"['LP', 'Compilation']",,,
607,2647470,0,,"[('Benny Goodman', 'https://api.discogs.com/artists/254768')]","The Complete Benny Goodman, Vol. II / 1935-1936","[('AXM2-5515', 'RCA', 'https://api.discogs.com/labels/895')]","['Swing', 'Big Band']",,"['LP', 'Compilation']",,,
608,5475536,0,,"[('Tommy Dorsey', 'https://api.discogs.com/artists/229639')]",The Complete Tommy Dorsey Vol. I / 1935,"[('AXM2-5521', 'RCA', 'https://api.discogs.com/labels/895')]","['Swing', 'Big Band']",,"['LP', 'Compilation', 'Mono']",,,
609,2649821,0,,"[('Benny Goodman', 'https://api.discogs.com/artists/254768')]","The Complete Benny Goodman, Vol III / 1936","[('AXM2-5532', 'RCA', 'https://api.discogs.com/labels/895')]","['Big Band', 'Swing']",,"['LP', 'Compilation', 'Mono']",,,
610,2427954,292265,,"[('Glenn Miller', 'https://api.discogs.com/artists/77991')]",The Complete Glenn Miller Volume IV - 1940,"[('AXM2-5558', 'RCA', 'https://api.discogs.com/labels/895')]",['Swing'],https://api.discogs.com/masters/292265,"['LP', 'Compilation', 'Mono']",,,
611,5647212,1193921,,"[('Glenn Miller', 'https://api.discogs.com/artists/77991')]",The Complete Glenn Miller Volume V - 1940,"[('AXM2-5565', 'RCA', 'https://api.discogs.com/labels/895')]",['Swing'],https://api.discogs.com/masters/1193921,"['LP', 'Compilation']",,,
612,4380281,1397504,,"[('Glenn Miller', 'https://api.discogs.com/artists/77991')]",The Complete Glenn Miller 1941 Volume VII,"[('AXM2-5570', 'RCA', 'https://api.discogs.com/labels/895')]",['Swing'],https://api.discogs.com/masters/1397504,"['LP', 'Compilation']",,,
613,4020227,1521989,,"[('Glenn Miller', 'https://api.discogs.com/artists/77991')]",The Complete Glenn Miller 1941-1942 Volume VIII,"[('AXM2-5571', 'RCA', 'https://api.discogs.com/labels/895')]",['Swing'],https://api.discogs.com/masters/1521989,"['LP', 'Compilation', 'Mono']",,,
614,4298594,1295212,,"[('Glenn Miller', 'https://api.discogs.com/artists/77991')]",The Complete Glenn Miller Volume IX 1939-1942,"[('AXM2-5574', 'RCA', 'https://api.discogs.com/labels/895')]","['Big Band', 'Swing']",https://api.discogs.com/masters/1295212,"['LP', 'Compilation', 'Mono']",,,
615,4401653,0,,"[('Charlie Barnet', 'https://api.discogs.com/artists/269594')]","The Complete Charlie Barnet, Volume VI / 1941-1942","[('AXM2-5590', 'RCA', 'https://api.discogs.com/labels/895')]",['Big Band'],,"['Compilation', 'LP', 'Album']",,,
616,3050169,122571,,"[('The Isley Brothers', 'https://api.discogs.com/artists/47512')]",Shout,"[('447-0589', 'RCA Victor', 'https://api.discogs.com/labels/11358')]",['Rhythm & Blues'],https://api.discogs.com/masters/122571,"['7""', '45 RPM', 'Reissue']",,,
617,3007086,157345,,"[('Elvis Presley', 'https://api.discogs.com/artists/27518')]",Heartbreak Hotel / I Was The One,"[('47-6420', 'RCA Victor', 'https://api.discogs.com/labels/11358')]",['Rock & Roll'],https://api.discogs.com/masters/157345,"['7""', '45 RPM', 'Single']",https://rateyourmusic.com/release/single/elvis-presley/heartbreak-hotel-i-was-the-one/,3.88,656
618,11726308,685419,,"[('Harry Nilsson', 'https://api.discogs.com/artists/152685')]",Everybody's Talkin',"[('47-9544', 'RCA Victor', 'https://api.discogs.com/labels/11358')]","['Blues Rock', 'Psychedelic Rock']",https://api.discogs.com/masters/685419,"['7""', '45 RPM', 'Single']",,,
619,7522604,156924,,"[('The Equals', 'https://api.discogs.com/artists/96397')]","Baby, Come Back / Hold Me Closer","[('47-9583', 'RCA Victor', 'https://api.discogs.com/labels/11358')]","['Rock & Roll', 'Classic Rock']",https://api.discogs.com/masters/156924,"['7""', 'Single', '45 RPM']",https://rateyourmusic.com/release/single/the-equals/baby-come-back-hold-me-closer/,3.56,172
620,1242688,57203,,"[('The Friends Of Distinction', 'https://api.discogs.com/artists/121387')]",Grazing In The Grass,"[('74-0107', 'RCA Victor', 'https://api.discogs.com/labels/11358')]",['Soul'],https://api.discogs.com/masters/57203,"['7""', '45 RPM', 'Single']",,,
621,7469450,323851,,"[('The Guess Who', 'https://api.discogs.com/artists/288878')]",Laughing,"[('74-0195', 'RCA Victor', 'https://api.discogs.com/labels/11358')]",['Pop Rock'],https://api.discogs.com/masters/323851,"['7""', 'Single']",,,
622,14573534,252712,,"[('The Guess Who', 'https://api.discogs.com/artists/288878')]",Share The Land / Bus Rider,"[('74-0388', 'RCA Victor', 'https://api.discogs.com/labels/11358')]",['Pop Rock'],https://api.discogs.com/masters/252712,"['7""', 'Single', 'Stereo']",https://rateyourmusic.com/release/single/the-guess-who/share-the-land-bus-rider/,3.54,87
623,1897013,203154,,"[('José Feliciano', 'https://api.discogs.com/artists/465889')]",Compartments,"[('APD1-0141', 'RCA Victor', 'https://api.discogs.com/labels/11358')]","['Vocal', 'Pop Rock', 'Soul', 'Soft Rock']",https://api.discogs.com/masters/203154,"['LP', 'Album', 'Stereo', 'Quadraphonic']",https://rateyourmusic.com/release/album/jose-feliciano/compartments/,3.00,12
624,1713127,119409,,"[('The Guess Who', 'https://api.discogs.com/artists/288878')]",Share The Land,"[('LSP 4359', 'RCA Victor', 'https://api.discogs.com/labels/11358')]",[],https://api.discogs.com/masters/119409,"['LP', 'Album']",https://rateyourmusic.com/release/album/the-guess-who/share-the-land-3/,3.56,365
625,2309250,176933,,"[('Charles Mingus', 'https://api.discogs.com/artists/200815')]",Tijuana Moods,"[('LSP-2533', 'RCA Victor', 'https://api.discogs.com/labels/11358')]",['Hard Bop'],https://api.discogs.com/masters/176933,"['LP', 'Album', 'Stereo']",https://rateyourmusic.com/release/album/charlie-mingus/tijuana-moods-2/,3.88,2598
626,3273852,280135,,"[('Duke Ellington', 'https://api.discogs.com/artists/145257')]",The Far East Suite,"[('LSP-3782', 'RCA Victor', 'https://api.discogs.com/labels/11358')]",['Big Band'],https://api.discogs.com/masters/280135,"['LP', 'Album', 'Reissue']",,,
627,7349594,119408,,"[('The Guess Who', 'https://api.discogs.com/artists/288878')]",American Woman,"[('LSP-4266', 'RCA Victor', 'https://api.discogs.com/labels/11358')]","['Pop Rock', 'Hard Rock']",https://api.discogs.com/masters/119408,"['LP', 'Album']",https://rateyourmusic.com/release/album/the-guess-who/american-woman/reviews/10/,3.69,918
628,7378625,301985,,"[('The Guess Who', 'https://api.discogs.com/artists/288878')]","So Long, Bannatyne","[('LSP-4574', 'RCA Victor', 'https://api.discogs.com/labels/11358')]",['Pop Rock'],https://api.discogs.com/masters/301985,"['LP', 'Album', 'Stereo']",https://rateyourmusic.com/release/album/the-guess-who/so-long-bannatyne-1/reviews/2/,3.29,175
629,8486918,96741,,"[(""Brian Auger's Oblivion Express"", 'https://api.discogs.com/artists/346461')]",Second Wind,"[('LSP-4703', 'RCA Victor', 'https://api.discogs.com/labels/11358')]","['Jazz-Rock', 'Jazz-Funk', 'Prog Rock']",https://api.discogs.com/masters/96741,"['LP', 'Album']",https://rateyourmusic.com/release/album/brian-augers-oblivion-express/second-wind/,3.67,227
